grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality
507,10,46,37.7184943037751,47.09708837515564,0.1910279542207718,0.035959839820861816,0.21657316386699677,0.72,0.42363059520721436,0.42363059520721436,0.0,0.5,0.5306671261787415,0.5306671261787415,0.29408712289672356,both,0.23260264098644257,0.27982184869050974,both_low,False,False
508,11,1,37.42197353929315,47.09788568136715,0.34692245721817017,0.34382113814353943,0.0746789202094078,0.8,0.3273340165615082,0.3273340165615082,0.0,0.25,0.38082554936408997,0.38082554936408997,0.33705828982403874,both,0.019588440656661987,0.15621190845966337,both_low,False,False
509,11,2,37.4285598300567,47.09797625334151,0.33535048365592957,0.3290349841117859,0.09851314127445221,1.0,0.2380070984363556,0.2380070984363556,0.0,0.25,0.2117253988981247,0.2117253988981247,0.28417200575998003,both,0.09734338521957397,0.18064036965370178,both_low,False,False
510,11,3,37.43514615276584,47.09806644672463,0.15150782465934753,0.0705125704407692,0.19812741875648499,1.0,0.15010230243206024,0.15010230243206024,0.0,0.25,-0.05802324041724205,-0.05802324041724205,0.1508037168690475,both,0.0014055222272872925,0.11348386555910109,both_low,False,False
511,11,4,37.441732507286964,47.098156261511875,0.04026947170495987,0.0,0.11331023275852203,1.0,0.3661046028137207,0.3661046028137207,0.0,0.25,0.4459998905658722,0.4459998905658722,0.1347016678903575,both,0.32583513110876083,0.34058459177613254,both_low,False,False
512,11,5,37.448318893486444,47.09824569769857,0.042182281613349915,0.007405490148812532,0.06789004802703857,1.0,0.38344606757164,0.38344606757164,0.0,0.25,0.47225815057754517,0.47225815057754517,0.14199695663932196,both,0.3412637859582901,0.351384650170803,both_low,False,False
513,11,6,37.45490531123065,47.09833475528011,0.05566577613353729,0.04069247469305992,0.05367828160524368,1.0,0.3251802325248718,0.3251802325248718,0.0,0.25,0.3907983899116516,0.3907983899116516,0.14423025424260702,both,0.26951445639133453,0.3011601194739342,both_low,False,False
514,11,7,37.46149176038595,47.09842343425188,0.02084488607943058,0.014585482887923717,0.021231168881058693,1.0,0.34166091680526733,0.34166091680526733,0.0,0.25,0.4155605137348175,0.4155605137348175,0.0951132606759331,both,0.32081603072583675,0.33707122150808566,both_low,False,False
515,11,8,37.46807824081872,47.09851173460929,0.06657341122627258,0.06092965230345726,0.04615747183561325,1.0,0.4042207598686218,0.4042207598686218,0.0,0.25,0.5059549808502197,0.5059549808502197,0.1803123036271459,both,0.33764734864234924,0.3488531440496444,both_low,False,False
516,11,9,37.4746647523953,47.09859965634778,0.34812790155410767,0.11460944265127182,0.33915090560913086,1.0,0.4511283338069916,0.4511283338069916,0.0,0.25,0.5705650448799133,0.5705650448799133,0.39850561410786256,both,0.10300043225288391,0.1846003025770187,both_low,False,False
517,11,10,37.481251294982066,47.09868719946281,0.5113005638122559,0.7433024048805237,0.35029518604278564,1.0,0.5047489404678345,0.5047489404678345,0.0,0.25,0.643639326095581,0.643639326095581,0.5080250966961944,both,0.006551623344421387,0.11708613634109497,both_high,False,False
