grid_id,p_s2_only,p_viirs_only,p_both,kl_s2_vs_neutral_prior,kl_viirs_vs_neutral_prior,kl_both_vs_neutral_prior,kl_s2_vs_s2_global,kl_viirs_vs_viirs_global,kl_both_vs_both_global,kl_s2_vs_viirs,kl_viirs_vs_s2,jsd_s2_viirs,abs_diff_s2_viirs,best_single_sensor_kl,fusion_kl_loss,fusion_suppression_ratio,conflict_rank
29,0.050269399444704516,0.395669297901471,0.1537391300031083,0.4938394696503018,0.021930582621373484,0.26400665132410306,2.451346090441076e-07,0.023267396249123135,1.0644549209825162e-05,0.32561724274386555,0.5431460603587072,0.09537840348730363,0.34539989845676644,0.4938394696503018,0.22983281832619873,0.4653998565342463,2
30,0.05207855474036217,0.42381860424437245,0.1541853697229906,0.48855665252791886,0.011652541505280375,0.2632463227084354,2.8346010727428985e-05,0.012634044825839866,5.709381124530165e-06,0.3627364256619424,0.6017064783244084,0.10566115557710248,0.3717400495040103,0.48855665252791886,0.22531032981948346,0.46117544127926485,2
31,0.05136312758043213,0.4567650428176055,0.1546030022544395,0.4906376842330392,0.0037431958864991566,0.2625361199524912,9.184885852150503e-06,0.0043088378331519114,2.4738979209085405e-06,0.4166088235184951,0.6953002786540123,0.12079937090876008,0.4054019152371734,0.4906376842330392,0.228101564280548,0.4649083664193355,2
32,0.04975192824389201,0.5018659580688447,0.1556550161549498,0.4953630181650729,6.96361519336719e-06,0.26075303139390305,4.716143597351119e-06,3.326167985640699e-06,2.317584291154683e-07,0.4987305735037614,0.8382328796737945,0.143489137526862,0.4521140298249527,0.4953630181650729,0.23460998677116984,0.47361223621459225,2
33,0.051487697961370135,0.503099259710691,0.1554707108285211,0.4902745829731828,1.9210944529069948e-05,0.2610648060502795,1.1769799975130859e-05,6.336273478897204e-09,1.4833295371551448e-08,0.4958540898062147,0.8255383313037761,0.14237862472408663,0.4516115617493209,0.4902745829731828,0.22920977692290334,0.4675130730475594,2
34,0.0509129832594712,0.3852558325404134,0.1536324861219917,0.49195243767132396,0.026568591607725955,0.2641885836934,2.5041819971393254e-06,0.02803684760678249,1.2050431439628376e-05,0.3091459074688993,0.5126968817804186,0.09058608062060619,0.3343428492809422,0.49195243767132396,0.22776385397792398,0.4629794194252864,2
35,0.05218551925591152,0.4131032009353569,0.1541131826527115,0.48824640882683173,0.015179065576508263,0.2633692155249056,3.210507778065512e-05,0.016295822433869483,6.404111096884298e-06,0.34633053967755323,0.5733606870217257,0.10101741872574813,0.3609176816794454,0.48824640882683173,0.22487719330192613,0.46058135653729754,2
36,0.05065295037432961,0.40117754276274514,0.1539635515751589,0.4927138341269205,0.01966094886992721,0.2636240780000422,5.536030878042577e-07,0.020928235520709923,7.971483843747683e-06,0.33264637728656754,0.554256511528866,0.09733359479327125,0.35052459238841555,0.4927138341269205,0.22908975612687832,0.46495499062416423,2
37,0.050610445780590214,0.4347567155110158,0.1543855119106083,0.4928384244006532,0.008537697569110832,0.2629058052793345,3.682909704993704e-07,0.009381136255789402,3.992131333170439e-06,0.383473997343898,0.6418859911838914,0.1116944257170122,0.3841462697304256,0.4928384244006532,0.22993261912131868,0.4665476710768698,2
38,0.050150060411534365,0.48256687310975543,0.1549137838442884,0.49419033029772763,0.0006079510378212104,0.2620084881687629,7.766418508652843e-07,0.0008479133341302535,9.323884132885494e-07,0.4634166429178201,0.7782784007220855,0.13385511329548289,0.4324168126982211,0.49419033029772763,0.23218184212896475,0.4698227138298832,2
39,0.04969348309904032,0.47063111993327106,0.1548155317581788,0.4955354484203399,0.0017260555507879818,0.2621752165785104,5.576068521342546e-06,0.002116675063158484,1.3399200505132556e-06,0.44430253756805305,0.7483400182927795,0.1287101823928576,0.42093763683423074,0.4955354484203399,0.23336023184182952,0.47092540520709786,2
