grid_id,p_viirs_only_mean,p_viirs_only_sd,p_viirs_only_ci_2_5,p_viirs_only_ci_97_5
612,0.5547936367495562,0.09195644106622448,0.393106715951039,0.7513487700653794
613,0.566178508676624,0.09445053919327369,0.40926706463171003,0.7692302988295624
614,0.569780955033949,0.09717342290409303,0.4048351964832321,0.7782701628300127
615,0.5661748494080169,0.09636826131535287,0.40020079758886346,0.7759145335121317
616,0.568199353281339,0.0959967900613674,0.4031807930229295,0.7692244507510656
617,0.5698182199525781,0.095716052817137,0.40482987346271837,0.7756977682399749
618,0.5640045284583193,0.09373733576687816,0.40396100822878483,0.7654914551566847
619,0.5622211339428567,0.09606756366278923,0.4006155288138338,0.7696198996031657
620,0.5619868934688518,0.09525463301692183,0.3994368127612364,0.765529502194295
621,0.5633637646997366,0.09707137086001698,0.39463972002463255,0.7723434929628064
622,0.5619452487004994,0.09377523527831826,0.40163431797097227,0.7600813355855132
623,0.49975890859084404,0.11267588647996941,0.26105768409423624,0.733869531485289
624,0.5013212376089685,0.11254824553042936,0.257116637009146,0.7519281617865176
625,0.4976417400055276,0.11258067384315905,0.2532658475930774,0.7407694347711206
626,0.5015629850215831,0.11243295092463304,0.24768567585006876,0.7396027932047778
627,0.5021793801536838,0.11269939667491684,0.2543000843511193,0.7463463208458545
628,0.5022712876439519,0.11355734717987186,0.26284834357868503,0.7538721791757003
629,0.5049879102677718,0.11039021512051181,0.26534927824135013,0.7434312939234141
630,0.566281054618077,0.09680495892024657,0.4098667440970599,0.777134750336769
631,0.5693471343562168,0.09718198095392683,0.4083912057526614,0.777545118139458
632,0.5697773300072666,0.09722925706629026,0.4028558169410048,0.7777029755394875
633,0.5686468253691737,0.09635061979055835,0.4054006491459403,0.7733221090485046
634,0.5672322593659443,0.0972881051052692,0.4008720155858327,0.775566775602995
635,0.5685884098940002,0.09508237048971808,0.41111682996671073,0.7746080383802191
636,0.56241017865888,0.09562723923982781,0.3966223104586515,0.7686874256495089
637,0.5575704699076103,0.0916426080125271,0.3910420938536973,0.7542188989138332
638,0.5556106869143842,0.09278412967981504,0.38886280533677053,0.7551704069190686
639,0.5011168990160966,0.11193724753126288,0.2558544399129629,0.7392729218089804
640,0.501567572972581,0.1110569933220984,0.26178106787735506,0.7372077587885396
641,0.5051589753580045,0.11460096262992397,0.26000681277946425,0.7586214854291243
642,0.5025771864627091,0.11489633431878044,0.25608552872020346,0.7515959325491228
643,0.416551688378552,0.10267609453361512,0.2038020106240337,0.5813421124186756
644,0.4107106730868607,0.10540231238803004,0.19239835689193782,0.5720265799249445
645,0.4134269411145244,0.10580066403746015,0.19566513273398814,0.5859830021632447
646,0.40202772689246113,0.11246135234559078,0.1745471131103106,0.5774557759567404
647,0.380869564899849,0.12233978403606942,0.14427036148246944,0.5619062709501481
648,0.3412292544761215,0.13919381160769417,0.09890802878249286,0.5376975984374152
649,0.3534717567101016,0.13434834813276128,0.11077620336364158,0.5448123835989813
650,0.401335906599384,0.11334814765816774,0.17610727440509907,0.5763690199323854
651,0.42342250573304674,0.10113553035687477,0.21161824667253507,0.5892536964087344
652,0.4384408567115196,0.0969763965131951,0.23443794153992392,0.6076275571738469
653,0.4784604287846914,0.08827076390857065,0.29517699793553215,0.6487867747547497
654,0.5349897103440053,0.08493596597963832,0.3689010755243649,0.7198982386141591
655,0.5238908057486062,0.0885815862999409,0.3538840966655839,0.7122216173994544
656,0.5015777268878914,0.08717507287412685,0.319195969860747,0.6883219140940974
657,0.5073775058757994,0.08421046840911024,0.3346623872929884,0.6814054350857915
658,0.5438266284846335,0.09064904251356506,0.3806461990701223,0.7468404693984585
659,0.5639791925900579,0.09711258097764013,0.40107909638560185,0.7749448482378652
660,0.5682120046371448,0.0996483259794679,0.39867343329432914,0.7839961321494776
661,0.5685860490401542,0.09859703128917849,0.3973738644043615,0.7795160897371786
662,0.5713012255310645,0.0954779667572763,0.41717057662888535,0.771774611785063
663,0.5647991813622723,0.09489820718738388,0.40574679864089913,0.769364064238726
664,0.5607340650487017,0.09359390708933664,0.4033691055541019,0.7632237879811328
665,0.5641853364652495,0.0935337485260084,0.40933695303478135,0.763088413895574
666,0.5659570324111439,0.09478124973155035,0.4014067102252722,0.7682541240900043
667,0.563042750619271,0.09426107267191336,0.4002898708578969,0.7631637887851561
668,0.5664906076228141,0.09533211912951697,0.40760625736719897,0.7705477571184125
669,0.5594671028149609,0.09401888925204932,0.39833665352852343,0.7649533386699969
